CDISC SEND Rule ID,Class,Domain,Variable,Plain Text Explanation of Condition/Rule,Condition,Rule,Cited Document,Cited Document Section,Cited Item,Cited Guidance,Release Notes
105.1,"SPC, TDM","DM,TS, TX",SPECIES,If species is not included in DM it must be included in TS or TX.,DM.SPECIES = null,"Record with TSPARMCD = ""SPECIES"" is present in TS and TSVAL ^= null for that record OR TXPARMCD = ""SPECIES"" is present in TX and TXVAL ^= null",SENDIG v3.1,5.1.1,SPECIES CDISC Notes,"If this variable is excluded in the DM domain, the information must be present at a higher level (either Trial Sets or Trial Summary).",Versioned to reflect cited guidance change. 
146,FND,NOT (SC),--REASND,If --STAT is not populated then --REASND is not populated,--STAT = null,--REASND = null,SENDIG v3.0,6.3.1,BWREASND CDISC Notes,Describes why BWSTAT is NOT DONE,
146,FND,NOT (SC),--REASND,If --STAT is not populated then --REASND is not populated,--STAT = null,--REASND = null,SENDIG v3.1,6.3.1,BWREASND CDISC Notes,Describes why BWSTAT is NOT DONE,
143,FND,NOT (SC),--STAT,"If --STAT is populated, the value must be from the (ND) codelist",--STAT  ^= null,--STAT = value from (ND) codelist,SENDIG v3.0,6.3.1,"BWSTAT Controlled Terms, Codelist, or Format",(ND) codelist is referenced in the domain table,
143,FND,NOT (SC),--STAT,"If --STAT is populated, the value must be from the (ND) codelist",--STAT  ^= null,--STAT = value from (ND) codelist,SENDIG v3.1,6.3.1,"BWSTAT Controlled Terms, Codelist, or Format",(ND) codelist is referenced in the domain table,
106,"SPC, TDM","DM,TS",STRAIN,If strain information is not included in DM it must be included in TS.,DM.STRAIN = null ,"Record with TSPARMCD = ""STRAIN"" is present in TS and TSVAL ^= null for that record",SENDIG v3.0,5.1.1,STRAIN CDISC Notes,"If this variable is excluded in the DM domain, the information must be presented at a higher level (Trial Summary).",
106.1,"SPC, TDM","DM,TS, TX",STRAIN,If strain is not included in DM it must be included in TS or TX.,DM.STRAIN = null ,"Record with TSPARMCD = ""STRAIN"" is present in TS and TSVAL ^= null for that record OR Record with TXPARMCD = ""STRAIN"" is present in TX and TXVAL ^= null for that record",SENDIG v3.1,5.1.1,STRAIN CDISC Notes,"If this variable is excluded in the DM domain, the information must be present at a higher level (either Trial Sets or Trial Summary).",Versioned to reflect cited guidance change. 
119,SPC,CO,COVAL,If the comment is over 200 characters the comment must be broken into 200 character-sections in columns labelled COVAL1-COVALn.,Comment value > 200 characters in length,Comment is broken into 200-character sections AND each 200-character section is in a separate column AND each column is named sequentially from COVAL1 through COVALn,SENDIG v3.1,5.2.1.1,Assumption 4,"When the comment text is longer than 200 characters, the first 200 characters of the comment will be in COVAL, the next 200 in COVAL1, and additional text represented as needed to COVALn. ",Cited guidance reference updated; no implementation impact.
119,SPC,CO,COVAL,If the comment is over 200 characters the comment must be broken into 200 character-sections in columns labelled COVAL-COVALn.,Comment value > 200 characters in length,Comment is broken into 200-character sections AND each 200-character section is in a separate column AND each column is named sequentially from COVAL through COVALn,SENDIG v3.0,5.2.1.1,Assumption 4,"When the comment text is longer than 200 characters, the first 200 characters of the comment will be in COVAL, the next 200 in COVAL1, and additional text stored as needed to COVALn.",
120,SPC,CO,CODTC,If the comment is related to a record in another domain (IDVAR and IDVARVAL are populated) CODTC should not be populated.  ,IDVAR ^= null,CODTC = null,SENDIG v3.0,5.2.1,CODTC CDISC Notes,Should be null if this is a child record of another domain or if comment date was not collected.,Rule not applicable to SENDIG v3.1 and SENDIG v3.1.1.  
158,FND,"CL, MA, MI",--STRESC,"If the examination was completed and there were no abnormal findings, the value must be ""NORMAL"" in --STRESC.",--ORRES indicates no abnormal findings,"--STRESC = ""NORMAL""",SENDIG v3.0,6.3.3 | 6.3.7 | 6.3.8,--STRESC CDISC Notes,"If the examination was completed and there were no abnormal findings, the value must be NORMAL.",
158.1,FND,CL,--STRESC,"If the examination was completed and there were no abnormal findings, the value must be 'NORMAL' in --STRESC.",--ORRES indicates no abnormal findings,--STRESC = 'NORMAL',SENDIG v3.1,6.3.3,CLSTRESC CDISC Notes,"If the examination was completed and there were no abnormal findings, the value must be NORMAL.",Versioned to reflect cited guidance change. Split to SEND Rule 285.
NEW SEND RULE 285,FND,"MA, MI",--STRESC,"If the examination was completed and there were no findings, the value must be 'UNREMARKABLE' in --STRESC.",--ORRES indicates no findings,--STRESC = 'UNREMARKABLE',SENDIG v3.1,6.3.7 | 6.3.8,MASTRESC CDISC Notes | MISCTRESC CDISC Notes,"If the examination was completed and there were no findings, the value must be UNREMARKABLE.","Split from SEND Rule 158, new cited guidance."
181,FND,MI,MISTRESC,"If the finding is a tumor, the TFSTRESC Controlled Terminology Codelist must be used to populate MISTRESC.",MIORRES contains a tumor finding,MISTRESC populated using TFSTRESC Controlled Terminology Codelist,SENDIG v3.0,6.3.8,MISTRESC CDISC Notes,Tumors must be populated using TFSTRESC controlled list.,Replaced by SEND Rule 321 in SENDIG v3.1 and SENDIG v3.1.1.
194,FND,PC,PCSTRESN,"If the PCORRES result is less than the Lower Limit of Quantification, then PCSTRESN should be null and not populated with the value of zero (0).",PCORRES < PCLLOQ,PCSTRESN = null,SENDIG v3.0,6.3.11.1,Assumption 2,"If the PCORRES result is less than the Lower Limit of Quantification (LLQ), then PCSTRESN should be null and not populated with the value of zero (0).",
194,FND,PC,PCSTRESN,"If the PCORRES result is less than the Lower Limit of Quantification, then PCSTRESN should be null and not populated with the value of zero (0).",PCORRES < PCLLOQ ,PCSTRESN = null ,SENDIG v3.1,6.3.11.1,Assumption 2,"If the PCORRES result is less than the Lower Limit of Quantification (LLOQ), then PCSTRESN should be null and not populated with the value of zero (0).",
96,FND,ALL,QNAM,"If the sponsor collects the reason for performing a test or examination, it should be placed in the SUPP-- dataset using the standard SUPP-- QNAM value of --REAS.",Reason for performing test or examination is collected,"QNAM = ""--REAS""; QLABEL = ""Reason Test or Examination was Performed""; QVAL is the collected reason that the test or examination was performed",SENDIG v3.0,4.5.5; 8.4.4.3,Text,"For the Findings general observation class, if the sponsor collects the reason for performing a test or examination, it should be placed in the SUPP-- dataset as described in Section 8.5.  The standard SUPP-- QNAM value of --REAS should be used as described in Section 8.",
96,FND,ALL,QNAM,"If the sponsor collects the reason for performing a test or examination, it should be placed in the SUPP-- dataset using the standard SUPP-- QNAM value of --REAS.",Reason for performing test or examination is collected,"QNAM = ""--REAS""; QLABEL = ""Reason Test or Examination was Performed""; QVAL is the collected reason that the test or examination was performed",SENDIG v3.1,4.5.4 | 8.4.4.3,Text,"For the Findings general observation class, if the sponsor collects the reason for performing a test or examination, it should be placed in the SUPP-- dataset as described in Section 8.5.  The standard SUPP-- QNAM value of --REAS should be used as described in Section 8.",Cited guidance reference updated; no implementation impact.
77,ALL,ALL,NA,"If the Sponsor wishes to include alternate days calculated by a different algorithm than study day (--DY), the alternate days should be presented in a Supplemental Qualifier variable.  The algorithm for calculation of these alternate days should be explained in the Define-XML document.",,Alternate days calculated using an algorithm different then (--DY) are stored in  SUPP-- and the reference dates used to calculate the alternate study days are explained in the Define-XML document.,SENDIG v3.0,4.4.5,Text,"The calculations of additional study days within subdivisions of time in a study may be based on one or more defined reference dates not represented by RFSTDTC.
In such cases, the sponsor may define Supplemental Qualifier variables to store these study days and the data
definition file should reflect the reference dates used to calculate such study days. If the sponsor wishes to define
day within Element or day within EPOCH, the reference date/time will be an Element start date/time in the Subject
Elements dataset (Section 5.3.1).",
77,ALL,ALL,NA,"If the Sponsor wishes to include alternate days calculated by a different algorithm than study day (--DY), the alternate days should be presented in a Supplemental Qualifier variable.  The algorithm for calculation of these alternate days should be explained in the Define-XML document.",,Alternate days calculated using an algorithm different then (--DY) are stored in  SUPP-- and the reference dates used to calculate the alternate study days are explained in the Define-XML document.,SENDIG v3.1,4.4.5,Text,"The calculations of additional study days within subdivisions of time in a study may be based on one or more defined reference dates not represented by RFSTDTC.
In such cases, the sponsor may define Supplemental Qualifier variables to store these study days and the data
definition file should reflect the reference dates used to calculate such study days. If the sponsor wishes to define
day within Element or day within EPOCH, the reference date/time will be an Element start date/time in the Subject
Elements dataset (Section 5.3.1).",
129.1,SPC,SE,SESTDTC,"If the start date/time of an Element was not collected, the method used to determine the Element start date/time should be explained in the Define-XML document.",SESTDTC ^= null and was not directly collected,Method used to determine  SESTDTC is explained in the Define-XML document.,SENDIG v3.0,5.3.1.1,Assumption 3,"If the start date/time of an Element was not collected directly, the method used to infer the Element start date/time should be explained in the Comments column of the data definition file.",Condition format updated.
